Bribery_info,Bribery_Info
Continue,Continue
Continue to other rights,continuee
corruption,corruption
Bribery,corruption_bribery
Embezzlement,corruption_embezzlement
Extortion,corruption_extortion
Forgery,corruption_Forgery
JudicialDelay,corruption_JudicialDelay
PDS,corruption_PDS
embezzelment_info,Embezzelment_info
extortion_info,Extortion_info
forgery_info,Forgery_info
Hyy,Greetings
Hello,Greetings
Nameste,Greetings
Hii,Greetings
help,help
Home,home
Judicial_info,Judicial_delay_info
rights,know_rights
Know your Legal Rights,Legal_Rights
no,no
PDS_info,pds_info
done,proof_uploaded
File a Report,report
Check Ticket Status,status
BJVQ0M863,status_number
JWZ9D13J3,status_number
K88QPAIR5,status_number
TGFM26F29,status_number
X9WOPW9XL,status_number
QU1HXA8X0,status_number
A6KY4H0B7,status_number
FT8IXJBZ6,status_number
8AMXOEEBL,status_number
4XWA1TSE9,status_number
3Y8JG7PE1,status_number
yes,yes
